model mSUGRA
parameter tanbeta 3
parameter a0 -400
parameter mu 1
parameter kFactorProcessWeighted true
scan m0m12 10.0 190.0 cu0mu3e1tau 0.0046 0.003
scan m0m12 10.0 190.0 cu2mu0e2tau 0.0 0.0
scan m0m12 10.0 190.0 cu1mu1e2tau 0.0 0.0
scan m0m12 10.0 190.0 cu0mu2e2tau 0.0 0.0
scan m0m12 10 200 LOXSEC 16.4600
scan m0m12 10.0 200.0 cu3mu 0.0402 0.0072
scan m0m12 10.0 200.0 cu2mu1e 0.0297 0.0064
scan m0m12 10.0 200.0 cu2e1mu 0.0196 0.0052
scan m0m12 10.0 200.0 cu3e 0.0163 0.0047
scan m0m12 10.0 200.0 cu2mutau 0.0262 0.0057
scan m0m12 10.0 200.0 cu2etau 0.013 0.004
scan m0m12 10.0 200.0 cuemutau 0.0072 0.0029
scan m0m12 10.0 200.0 cuss2mu1e 0.0 0.0
scan m0m12 10.0 200.0 cuss2e1mu 0.0 0.0
scan m0m12 10.0 200.0 cuss2mutau 0.0 0.0
scan m0m12 10.0 200.0 cuss2etau 0.0 0.0
scan m0m12 10.0 200.0 cussemutau 0.0 0.0
scan m0m12 10.0 200.0 cu4mu0e0tau 0.0064 0.0029
scan m0m12 10.0 200.0 cu3mu1e0tau 0.0052 0.0023
scan m0m12 10.0 200.0 cu2mu2e0tau 0.0077 0.0033
scan m0m12 10.0 200.0 cu1mu3e0tau 0.0 0.0
scan m0m12 10.0 200.0 cu0mu4e0tau 0.0 0.0
scan m0m12 10.0 200.0 cu3mu0e1tau 0.0 0.0
scan m0m12 10.0 200.0 cu2mu1e1tau 0.0022 0.0016
scan m0m12 10.0 200.0 cu1mu2e1tau 0.0 0.0
scan m0m12 10.0 200.0 cu0mu3e1tau 0.0 0.0
scan m0m12 10.0 200.0 cu2mu0e2tau 0.0047 0.0023
scan m0m12 10.0 200.0 cu1mu1e2tau 0.0 0.0
scan m0m12 10.0 200.0 cu0mu2e2tau 0.0 0.0
scan m0m12 10 210 LOXSEC 12.6400
scan m0m12 10.0 210.0 cu3mu 0.0505 0.007
scan m0m12 10.0 210.0 cu2mu1e 0.0212 0.0049
scan m0m12 10.0 210.0 cu2e1mu 0.0269 0.0051
scan m0m12 10.0 210.0 cu3e 0.016 0.0042
scan m0m12 10.0 210.0 cu2mutau 0.0145 0.0038
scan m0m12 10.0 210.0 cu2etau 0.0123 0.0036
scan m0m12 10.0 210.0 cuemutau 0.0 0.0
scan m0m12 10.0 210.0 cuss2mu1e 0.0 0.0
scan m0m12 10.0 210.0 cuss2e1mu 0.0022 0.0013
scan m0m12 10.0 210.0 cuss2mutau 0.0 0.0
scan m0m12 10.0 210.0 cuss2etau 0.0 0.0
scan m0m12 10.0 210.0 cussemutau 0.0039 0.0018
scan m0m12 10.0 210.0 cu4mu0e0tau 0.0091 0.0028
scan m0m12 10.0 210.0 cu3mu1e0tau 0.0017 0.0013
scan m0m12 10.0 210.0 cu2mu2e0tau 0.0078 0.0028
scan m0m12 10.0 210.0 cu1mu3e0tau 0.0 0.0
scan m0m12 10.0 210.0 cu0mu4e0tau 0.0015 0.0013
scan m0m12 10.0 210.0 cu3mu0e1tau 0.0017 0.0013
scan m0m12 10.0 210.0 cu2mu1e1tau 0.0016 0.0013
scan m0m12 10.0 210.0 cu1mu2e1tau 0.0 0.0
scan m0m12 10.0 210.0 cu0mu3e1tau 0.0 0.0
scan m0m12 10.0 210.0 cu2mu0e2tau 0.0 0.0
scan m0m12 10.0 210.0 cu1mu1e2tau 0.0 0.0
scan m0m12 10.0 210.0 cu0mu2e2tau 0.0 0.0
scan m0m12 10 220 LOXSEC 9.7210
scan m0m12 10.0 220.0 cu3mu 0.018 0.0036
scan m0m12 10.0 220.0 cu2mu1e 0.0159 0.0035
scan m0m12 10.0 220.0 cu2e1mu 0.0076 0.0026
scan m0m12 10.0 220.0 cu3e 0.0066 0.0022
scan m0m12 10.0 220.0 cu2mutau 0.0107 0.0027
scan m0m12 10.0 220.0 cu2etau 0.0028 0.0017
scan m0m12 10.0 220.0 cuemutau 0.0027 0.0014
scan m0m12 10.0 220.0 cuss2mu1e 0.0033 0.0014
scan m0m12 10.0 220.0 cuss2e1mu 0.0013 0.001
scan m0m12 10.0 220.0 cuss2mutau 0.0052 0.0019
scan m0m12 10.0 220.0 cuss2etau 0.0031 0.0014
scan m0m12 10.0 220.0 cussemutau 0.0029 0.0014
scan m0m12 10.0 220.0 cu4mu0e0tau 0.0011 0.001
scan m0m12 10.0 220.0 cu3mu1e0tau 0.0026 0.0014
scan m0m12 10.0 220.0 cu2mu2e0tau 0.0038 0.0019
scan m0m12 10.0 220.0 cu1mu3e0tau 0.0 0.0
scan m0m12 10.0 220.0 cu0mu4e0tau 0.0013 0.001
scan m0m12 10.0 220.0 cu3mu0e1tau 0.0 0.0
scan m0m12 10.0 220.0 cu2mu1e1tau 0.0 0.0
scan m0m12 10.0 220.0 cu1mu2e1tau 0.0 0.0
scan m0m12 10.0 220.0 cu0mu3e1tau 0.0 0.0
scan m0m12 10.0 220.0 cu2mu0e2tau 0.0026 0.0014
scan m0m12 10.0 220.0 cu1mu1e2tau 0.0 0.0
scan m0m12 10.0 220.0 cu0mu2e2tau 0.0013 0.001
scan m0m12 10 230 LOXSEC 7.6620
scan m0m12 10.0 230.0 cu3mu 0.0187 0.0033
scan m0m12 10.0 230.0 cu2mu1e 0.0111 0.0025
scan m0m12 10.0 230.0 cu2e1mu 0.0122 0.0029
scan m0m12 10.0 230.0 cu3e 0.0059 0.002
scan m0m12 10.0 230.0 cu2mutau 0.0119 0.0027
scan m0m12 10.0 230.0 cu2etau 0.0048 0.0017
scan m0m12 10.0 230.0 cuemutau 0.0017 0.0011
scan m0m12 10.0 230.0 cuss2mu1e 0.001 0.0008
scan m0m12 10.0 230.0 cuss2e1mu 0.001 0.0008
scan m0m12 10.0 230.0 cuss2mutau 0.0 0.0
scan m0m12 10.0 230.0 cuss2etau 0.0 0.0
scan m0m12 10.0 230.0 cussemutau 0.0017 0.0011
scan m0m12 10.0 230.0 cu4mu0e0tau 0.0019 0.0011
scan m0m12 10.0 230.0 cu3mu1e0tau 0.0009 0.0008
scan m0m12 10.0 230.0 cu2mu2e0tau 0.0011 0.0008
scan m0m12 10.0 230.0 cu1mu3e0tau 0.0 0.0
scan m0m12 10.0 230.0 cu0mu4e0tau 0.0 0.0
scan m0m12 10.0 230.0 cu3mu0e1tau 0.001 0.0008
scan m0m12 10.0 230.0 cu2mu1e1tau 0.0 0.0
scan m0m12 10.0 230.0 cu1mu2e1tau 0.0 0.0
scan m0m12 10.0 230.0 cu0mu3e1tau 0.0 0.0
scan m0m12 10.0 230.0 cu2mu0e2tau 0.0 0.0
scan m0m12 10.0 230.0 cu1mu1e2tau 0.0 0.0
scan m0m12 10.0 230.0 cu0mu2e2tau 0.0 0.0
scan m0m12 10 240 LOXSEC 6.1510
scan m0m12 10.0 240.0 cu3mu 0.0149 0.0026
scan m0m12 10.0 240.0 cu2mu1e 0.0066 0.0018
scan m0m12 10.0 240.0 cu2e1mu 0.0122 0.0025
