model GGM
parameter na
parameter na
parameter na
parameter kFactorProcessWeighted true
scan mcmg 300 600 LOXSEC 6.1600
scan mcmg 300.0 750.0 cu1mu2e1tau 0.0173 0.0059
scan mcmg 300.0 750.0 cu0mu3e1tau 0.0106 0.0038
scan mcmg 300.0 750.0 cu2mu0e2tau 0.0058 0.0037
scan mcmg 300.0 750.0 cu1mu1e2tau 0.0032 0.0021
scan mcmg 300.0 750.0 cu0mu2e2tau 0.0053 0.0034
scan mcmg 300 800 LOXSEC 1.1990
scan mcmg 300.0 800.0 cu3mu 0.0656 0.0079
scan mcmg 300.0 800.0 cu2mu1e 0.0783 0.0079
scan mcmg 300.0 800.0 cu2e1mu 0.0468 0.005
scan mcmg 300.0 800.0 cu3e 0.0462 0.0057
scan mcmg 300.0 800.0 cu2mutau 0.0241 0.0079
scan mcmg 300.0 800.0 cu2etau 0.0174 0.0057
scan mcmg 300.0 800.0 cuemutau 0.0081 0.0028
scan mcmg 300.0 800.0 cuss2mu1e 0.0082 0.0014
scan mcmg 300.0 800.0 cuss2e1mu 0.0082 0.0014
scan mcmg 300.0 800.0 cuss2mutau 0.0032 0.0012
scan mcmg 300.0 800.0 cuss2etau 0.0038 0.0014
scan mcmg 300.0 800.0 cussemutau 0.0085 0.0029
scan mcmg 300.0 800.0 cu4mu0e0tau 0.0843 0.0123
scan mcmg 300.0 800.0 cu3mu1e0tau 0.0596 0.0067
scan mcmg 300.0 800.0 cu2mu2e0tau 0.0869 0.0094
scan mcmg 300.0 800.0 cu1mu3e0tau 0.0307 0.004
scan mcmg 300.0 800.0 cu0mu4e0tau 0.0312 0.0052
scan mcmg 300.0 800.0 cu3mu0e1tau 0.0146 0.0049
scan mcmg 300.0 800.0 cu2mu1e1tau 0.0171 0.0057
scan mcmg 300.0 800.0 cu1mu2e1tau 0.0095 0.0033
scan mcmg 300.0 800.0 cu0mu3e1tau 0.0077 0.0027
scan mcmg 300.0 800.0 cu2mu0e2tau 0.0047 0.003
scan mcmg 300.0 800.0 cu1mu1e2tau 0.002 0.0013
scan mcmg 300.0 800.0 cu0mu2e2tau 0.0028 0.0018
scan mcmg 300 850 LOXSEC 0.8762
scan mcmg 300.0 850.0 cu3mu 0.0476 0.0058
scan mcmg 300.0 850.0 cu2mu1e 0.054 0.0055
scan mcmg 300.0 850.0 cu2e1mu 0.0327 0.0035
scan mcmg 300.0 850.0 cu3e 0.0298 0.0038
scan mcmg 300.0 850.0 cu2mutau 0.0164 0.0054
scan mcmg 300.0 850.0 cu2etau 0.0106 0.0035
