100 11.0892 0.568854
125 4.75939 0.209695
150 2.38798 0.0924501
175 1.31914 0.049995
200 0.785232 0.0276977
225 0.490819 0.0161151
250 0.317895 0.0106726
275 0.212761 0.00686779
300 0.145923 0.00503128
325 0.102425 0.00327765
350 0.073732 0.00236124
375 0.0540829 0.00172046
400 0.0393429 0.00125405
425 0.0296332 0.000985766
450 0.0217971 0.000757505
475 0.0167248 0.00059409
500 0.0125398 0.000470021
525 0.00964984 0.000374837
550 0.00761444 0.000301547
575 0.00592608 0.000244838
600 0.00474287 0.000203716
625 0.00356559 0.000156819
650 0.00287701 0.000134073
675 0.00227355 0.000110394
700 0.00185119 9.27744e-05
725 0.00147248 7.85609e-05
750 0.00112965 6.10191e-05
775 0.000903761 5.11649e-05
800 0.000724722 4.30106e-05
825 0.000581229 3.63997e-05
850 0.000467488 3.0177e-05
875 0.000377244 2.58818e-05
900 0.000291345 2.03949e-05
925 0.000245017 1.82822e-05
950 0.000189909 1.47301e-05
975 0.000160374 1.30472e-05
1000 0.000129786 1.10281e-05
1025 9.70472e-05 8.43997e-06
1050 8.53369e-05 7.90942e-06
1075 7.46476e-05 7.67e-06
1100 5.57351e-05 5.87223e-06
1125 4.51875e-05 5.06633e-06
1150 3.9869e-05 4.88241e-06
1175 2.53542e-05 3.1559e-06
1200 2.41037e-05 3.16903e-06
1225 1.79964e-05 2.48383e-06
1250 1.46632e-05 2.11661e-06
1275 1.28879e-05 2.00632e-06
1300 1.13202e-05 1.93311e-06
1325 9.1682e-06 1.68158e-06
1350 6.81394e-06 1.32465e-06
1375 7.18779e-06 1.58617e-06
1400 4.44607e-06 1.00741e-06
1425 3.92452e-06 9.79171e-07
1450 2.68518e-06 7.14018e-07
1475 1.85099e-06 5.39258e-07
1500 1.73731e-06 5.62327e-07
1525 1.63736e-06 5.83929e-07
1550 1.11508e-06 4.30556e-07
1575 8.9105e-07 3.79471e-07
1600 7.09639e-07 3.3201e-07
1625 5.62431e-07 2.92731e-07
1650 4.47213e-07 2.51151e-07
1675 4.17875e-07 2.56263e-07
1700 3.33779e-07 2.20105e-07
1725 2.24466e-07 1.59913e-07
1750 1.52159e-07 1.19862e-07
1775 1.46456e-07 1.15813e-07
1800 1.21337e-07 9.61243e-08
1825 1.40237e-07 1.1118e-07
1850 8.2039e-08 6.52723e-08
1875 5.83951e-08 4.65637e-08
1900 6.57499e-08 5.24801e-08
1925 4.55277e-08 3.63895e-08
1950 4.38312e-08 3.51068e-08
1975 4.35619e-08 3.49592e-08
2000 2.93584e-08 2.35817e-08
